# MDN's status for each Web Bluetooth member.
# Source: mdn/browser-compat-data
# Generated by scripts/update.sh surface — do not edit.
#
# `Interface.member status[,status]`. This is the *shipped* view and is
# narrower than the specification's IDL: a member the standard defines
# but nobody implements does not appear here at all. Its purpose is the
# status, which the IDL does not carry.

Bluetooth.getAvailability experimental,standard_track
Bluetooth.getDevices experimental,standard_track
Bluetooth.requestDevice experimental,standard_track
BluetoothCharacteristicProperties.authenticatedSignedWrites experimental,standard_track
BluetoothCharacteristicProperties.broadcast experimental,standard_track
BluetoothCharacteristicProperties.indicate experimental,standard_track
BluetoothCharacteristicProperties.notify experimental,standard_track
BluetoothCharacteristicProperties.read experimental,standard_track
BluetoothCharacteristicProperties.reliableWrite experimental,standard_track
BluetoothCharacteristicProperties.writableAuxiliaries experimental,standard_track
BluetoothCharacteristicProperties.write experimental,standard_track
BluetoothCharacteristicProperties.writeWithoutResponse experimental,standard_track
BluetoothDevice.gatt experimental,standard_track
BluetoothDevice.gattserverdisconnected_event experimental,standard_track
BluetoothDevice.id experimental,standard_track
BluetoothDevice.name experimental,standard_track
BluetoothRemoteGATTCharacteristic.characteristicvaluechanged_event experimental,standard_track
BluetoothRemoteGATTCharacteristic.getDescriptor experimental,standard_track
BluetoothRemoteGATTCharacteristic.getDescriptors experimental,standard_track
BluetoothRemoteGATTCharacteristic.properties experimental,standard_track
BluetoothRemoteGATTCharacteristic.readValue experimental,standard_track
BluetoothRemoteGATTCharacteristic.service experimental,standard_track
BluetoothRemoteGATTCharacteristic.startNotifications experimental,standard_track
BluetoothRemoteGATTCharacteristic.stopNotifications experimental,standard_track
BluetoothRemoteGATTCharacteristic.uuid experimental,standard_track
BluetoothRemoteGATTCharacteristic.value experimental,standard_track
BluetoothRemoteGATTCharacteristic.writeValue deprecated,standard_track
BluetoothRemoteGATTCharacteristic.writeValueWithResponse experimental,standard_track
BluetoothRemoteGATTCharacteristic.writeValueWithoutResponse experimental,standard_track
BluetoothRemoteGATTDescriptor.characteristic experimental,standard_track
BluetoothRemoteGATTDescriptor.readValue experimental,standard_track
BluetoothRemoteGATTDescriptor.uuid experimental,standard_track
BluetoothRemoteGATTDescriptor.value experimental,standard_track
BluetoothRemoteGATTDescriptor.writeValue experimental,standard_track
BluetoothRemoteGATTServer.connect experimental,standard_track
BluetoothRemoteGATTServer.connected experimental,standard_track
BluetoothRemoteGATTServer.device experimental,standard_track
BluetoothRemoteGATTServer.disconnect experimental,standard_track
BluetoothRemoteGATTServer.getPrimaryService experimental,standard_track
BluetoothRemoteGATTServer.getPrimaryServices experimental,standard_track
BluetoothRemoteGATTService.device experimental,standard_track
BluetoothRemoteGATTService.getCharacteristic experimental,standard_track
BluetoothRemoteGATTService.getCharacteristics experimental,standard_track
BluetoothRemoteGATTService.isPrimary experimental,standard_track
BluetoothRemoteGATTService.uuid experimental,standard_track
BluetoothUUID.canonicalUUID_static experimental,standard_track
BluetoothUUID.getCharacteristic_static experimental,standard_track
BluetoothUUID.getDescriptor_static experimental,standard_track
BluetoothUUID.getService_static experimental,standard_track
